FARS_ID,YEAR,MONTH,DAY,HOUR,MINUTE,STATE,CITY,LATITUDE,LONGITUDE,SEVERITY,FATALITIES,INJURIES,NUM_VEHICLES,WEATHER,ROAD_SURFACE
FARS_2021_000000,2021,10,21,9,46,CA,Los Angeles,33.965768,-118.406505,No Injury,5,6,2,Wind,Snow/Ice
FARS_2021_000001,2021,8,3,3,14,CA,Los Angeles,33.937227,-118.454433,No Injury,0,6,3,Rain,Gravel
FARS_2021_000002,2021,11,5,22,27,CA,Los Angeles,33.965829,-118.314388,Fatal,0,9,4,Clear,Gravel
FARS_2021_000003,2021,2,5,19,51,CA,Los Angeles,33.83904,-118.17732,Fatal,0,2,2,Snow,Gravel
FARS_2021_000004,2021,3,1,16,36,CA,Los Angeles,33.9621,-118.170706,No Injury,0,6,4,Snow,Wet
FARS_2021_000005,2021,11,12,23,2,CA,Los Angeles,33.898105,-118.395433,Other Injury,0,3,1,Fog,Dry
FARS_2021_000006,2021,4,11,2,29,CA,Los Angeles,34.056554,-118.396173,Other Injury,0,6,4,Wind,Snow/Ice
FARS_2021_000007,2021,10,18,18,11,CA,Los Angeles,33.71312,-117.921737,Fatal,0,5,2,Clear,Dry
FARS_2021_000008,2021,11,16,23,22,CA,Los Angeles,33.90892,-118.189482,Other Injury,0,1,3,Wind,Wet
FARS_2021_000009,2021,11,10,8,12,CA,Los Angeles,33.752112,-118.048215,No Injury,0,6,2,Snow,Dry
FARS_2021_000010,2021,12,26,10,9,CA,Los Angeles,33.775626,-118.234519,No Injury,0,9,3,Rain,Snow/Ice
FARS_2021_000011,2021,7,18,4,26,CA,Los Angeles,33.929624,-118.319345,Fatal,0,10,1,Wind,Wet
FARS_2021_000012,2021,8,30,9,30,CA,Los Angeles,33.87656,-118.174631,Fatal,0,4,2,Clear,Gravel
FARS_2021_000013,2021,9,3,12,10,CA,Los Angeles,33.782091,-118.097059,Other Injury,0,2,2,Fog,Snow/Ice
FARS_2021_000014,2021,3,3,6,29,CA,Los Angeles,33.980192,-118.017588,Fatal,0,4,3,Clear,Gravel
FARS_2021_000015,2021,1,25,11,17,CA,Los Angeles,33.76119,-118.077289,Serious Injury,0,9,4,Fog,Wet
FARS_2021_000016,2021,8,10,12,24,CA,Los Angeles,33.912286,-118.394564,Fatal,0,2,1,Wind,Snow/Ice
FARS_2021_000017,2021,9,20,21,42,CA,Los Angeles,34.031366,-118.317115,Serious Injury,0,6,1,Wind,Wet
FARS_2021_000018,2021,4,27,4,3,CA,Los Angeles,33.826965,-118.34832,Fatal,0,0,2,Clear,Gravel
FARS_2021_000019,2021,3,12,9,56,CA,Los Angeles,33.783413,-117.917443,Fatal,3,8,1,Fog,Snow/Ice
FARS_2021_000020,2021,2,26,15,55,CA,Los Angeles,33.988106,-118.098341,No Injury,0,3,2,Snow,Wet
FARS_2021_000021,2021,4,24,22,36,CA,Los Angeles,33.889136,-118.310011,Other Injury,3,9,4,Clear,Snow/Ice
FARS_2021_000022,2021,4,16,1,45,CA,Los Angeles,34.027475,-117.912991,Other Injury,0,1,1,Clear,Snow/Ice
FARS_2021_000023,2021,6,16,4,10,CA,Los Angeles,33.952046,-118.482893,Fatal,0,4,1,Clear,Wet
FARS_2021_000024,2021,7,24,10,17,CA,Los Angeles,33.916751,-118.347917,No Injury,0,6,4,Wind,Wet
FARS_2021_000025,2021,11,18,12,30,CA,Los Angeles,33.831371,-118.38728,Fatal,0,4,1,Snow,Wet
FARS_2021_000026,2021,9,23,0,55,CA,Los Angeles,33.751893,-118.320919,No Injury,0,7,4,Rain,Gravel
FARS_2021_000027,2021,4,23,3,56,CA,Los Angeles,33.805479,-118.4597,Other Injury,0,0,1,Clear,Gravel
FARS_2021_000028,2021,8,3,3,21,CA,Los Angeles,33.791338,-117.904416,Serious Injury,0,9,3,Fog,Wet
